model,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,cv_precision_macro_mean,cv_recall_macro_mean,entered_stability_shortlist,selected_for_deployment,final_test_macro_f1,final_test_accuracy,final_test_precision_macro,final_test_recall_macro,development_test_gap
Gradient Boosting,0.7741691251278477,0.06815892086926147,0.7915939861133456,0.7908427237291468,0.7742982306240493,True,True,0.8780140312187986,0.8819875776397516,0.856232492997199,0.9074295587453483,0.06898028277454049
Random Forest,0.7723059598702184,0.06492544490422744,0.7894881743907283,0.773502589120746,0.7914376871624967,True,False,,,,,
Logistic Regression,0.7285851434530478,0.03789458123301193,0.7460403211961545,0.7342500903584648,0.7828794414551046,False,False,,,,,
Decision Tree,0.7175526037065052,0.07245440299017218,0.7471077043331906,0.7269306115349803,0.753632635837214,False,False,,,,,
