model,deployment_eligible,grid_size,selected_parameters,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,cv_training_macro_f1_mean,training_validation_macro_f1_gap,fit_time_mean_seconds,prediction_time_mean_seconds,heldout_accuracy,heldout_balanced_accuracy,heldout_macro_f1,heldout_weighted_f1
Dummy,False,1,"{""classifier__strategy"": ""most_frequent""}",0.5249999999999999,0.1796988221070652,0.37499999999999994,0.07216878364870323,0.22346136687412613,0.05155044968690185,0.37961589937762164,0.2059774750536348,0.22882592001595692,0.005364553141830791,0.014081716537475586,0.010040462017059326,0.5666666666666667,0.3333333333333333,0.24113475177304966,0.40992907801418443
Decision Tree,False,32,"{""classifier__class_weight"": null, ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2}",0.6583333333333333,0.09464847243000453,0.5842850314889788,0.06703291035215185,0.47411263200736886,0.09741605683388992,0.6281695692222008,0.09405501736429689,1.0,0.5258873679926311,0.014683365821838379,0.010836362838745117,0.6666666666666666,0.49436274509803924,0.49175288648972854,0.6317064027590343
Random Forest,True,48,"{""classifier__class_weight"": ""balanced"", ""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 1, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",0.6416666666666666,0.07861650943380503,0.5817277483465892,0.12932809210366447,0.5296642436958241,0.1626890708151158,0.6294529784618563,0.07710407013239168,0.9987387824399709,0.46907453874414684,0.12177997827529907,0.014988064765930176,0.6666666666666666,0.49436274509803924,0.49175288648972854,0.6317064027590343
Linear SVM,True,6,"{""classifier__C"": 1.0, ""classifier__class_weight"": null}",0.7375,0.06387379048648288,0.6510416666666666,0.0970205000531102,0.5425562726360953,0.16343551938701856,0.6504245707474126,0.0973283429746735,1.0,0.4574437273639047,0.018211781978607178,0.010807573795318604,0.6833333333333333,0.5651960784313725,0.5196491228070176,0.6282456140350876
