model,deployment_eligible,grid_size,parameters,training_accuracy,training_macro_f1,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std,cv_training_macro_f1_mean,training_validation_macro_f1_gap,overfitting_assessment
Dummy,False,1,{},0.538235294117647,0.2332695984703633,0.5508333333333333,0.1389544289806314,0.36666666666666664,0.06666666666666668,0.233560747059471,0.03617999138486974,0.40098442548825375,0.17003851161694244,0.23329425621547992,-0.0002664908439910796,low observed weak-CV gap
Decision Tree,False,12,"{""classifier__class_weight"": null, ""classifier__max_depth"": 2, ""classifier__min_samples_leaf"": 5}",1.0,1.0,1.0,0.0,1.0,0.0,0.9333333333333332,0.13333333333333336,1.0,0.0,1.0,0.06666666666666676,no OOF errors; apparent gap comes from a validation fold missing one declared class
Random Forest,True,32,"{""classifier__class_weight"": null, ""classifier__max_depth"": 6, ""classifier__max_features"": 0.75, ""classifier__min_samples_leaf"": 3, ""classifier__n_estimators"": 100}",1.0,1.0,1.0,0.0,1.0,0.0,0.9333333333333332,0.13333333333333336,1.0,0.0,1.0,0.06666666666666676,no OOF errors; apparent gap comes from a validation fold missing one declared class
Linear SVM,True,6,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",1.0,1.0,1.0,0.0,1.0,0.0,0.9333333333333332,0.13333333333333336,1.0,0.0,1.0,0.06666666666666676,no OOF errors; apparent gap comes from a validation fold missing one declared class
